,SVD_1,SVD_2,SVD_3,SVD_4,SVD_5,SVD_6,SVD_7,SVD_8,SVD_9,SVD_10,SVD_11,SVD_12,SVD_13,SVD_14,SVD_15,SVD_16,SVD_17,SVD_18,SVD_19,SVD_20,SVD_21,SVD_22,SVD_23,SVD_24,SVD_25
UK20A,140.1495978717842,47.59028479962246,389.4975161919572,323.48150951918365,2211.985659651905,-1444.1629078279473,1384.8769214424703,-1215.6012246335572,-709.2615643733341,-461.2181443543302,-402.44735315336936,556.3156095091131,-303.47673985802817,-74.42932697182258,-1060.4866948687725,508.07988529089033,-273.33851654509687,-333.86471642589174,-188.20261949310168,188.75074512505998,429.7096136523069,-125.33611012961343,106.77684366620916,-414.18185931813156,-595.6261536034443
UK21A,150.08142090620868,39.003058335782114,340.52502289142154,337.3187396940821,2039.6367819695267,-1300.937519367966,1232.6331636796508,-1081.6401291257955,-603.5888515332208,-397.09902410910684,-332.3031538348391,445.3320930256189,-196.50410398691858,-35.379471419098316,-772.6181015037273,420.31074784551754,-293.0511388104374,-43.71035048768039,-140.96045096906388,142.05303775126166,377.5025860947715,-127.54036162041946,-63.48573438316507,-199.38074462812497,-517.8292999264809
UK22A,115.76774427178734,23.376841934774205,208.75620634214172,139.25525625456214,1153.5329962851922,-674.5906109040894,716.8021157974565,-484.0319134095601,-357.73171243114723,-140.01347845517557,-437.53928011909517,362.57075397791135,-219.08663488064022,25.39285031956229,-788.4240530824245,417.8608124494209,-174.4809976029582,-356.6614590240926,-51.50194141640625,-33.95417130874301,234.50598957615125,-159.2167631967195,-14.148791756371283,29.05639501286896,-467.3831505323866
UK23A,117.1440189966533,31.36721919246588,247.85328917571027,191.17618596059518,1373.0721791507751,-891.3624119111684,864.2817739286634,-657.6323524048958,-414.08421730019705,-219.07018096454843,-411.8674502313051,414.064512335333,-218.96153484377746,11.672901333811438,-804.6713424230603,424.6644996087379,-282.506339984318,-247.29140493141352,-86.0532955104303,26.691041459663698,323.71512523483847,-175.16785178136485,-48.28429300319253,-30.424704754528545,-573.4672903678472
UK24A,121.83528278336154,22.348096687396747,213.2145858146735,179.7959244139355,1203.715292069282,-750.6468061243269,723.3614543047656,-514.6802305883526,-312.85803802865627,-169.5815617175148,-351.0916281113131,302.06100872822947,-176.35471658151585,25.8902501466235,-548.1604885622907,277.68729522402066,-216.69767141110415,-174.26721829114248,-42.34063404955823,-11.994880479766946,208.39394390677452,-126.30485515200222,-86.04556156553372,44.054993714009626,-423.60706318471625
UK25A,114.29036555020076,35.90142667854995,277.77603449481984,202.13667859577941,1493.1173291101095,-926.9631354705307,921.449490998475,-766.7716511500057,-482.4098102639384,-279.09253880061215,-388.164058849052,429.74873414546965,-262.9151134139291,-19.255283620598426,-850.2942259882045,439.4934343615046,-276.13205087713374,-323.7599541336708,-112.89041045218396,77.82648932478378,333.74004874420876,-164.1997696444182,-32.726122247675455,-100.93633295665049,-545.280102748848
UK26A,172.8329246279655,33.26357143064811,342.88459448745954,379.0302506569083,2028.4106579155887,-1277.786094135107,1183.8527881404752,-1027.8115402405278,-569.585389517451,-378.1301521298082,-333.9182777803228,372.80288045383674,-99.31871357598234,20.054708228711036,-633.2913133191427,413.8729708130622,-455.72923760426363,234.70372419735148,-90.99407744463515,45.354121523626205,416.08367691634714,-173.71358294593128,-272.5175474959394,112.32409627946092,-502.5040994989454
UK27A,167.87215754755402,47.35818728258937,378.07903151807784,364.8348809033515,2148.1760047656517,-1273.8809620680406,1271.041668726947,-1112.6208764575567,-668.0928415179897,-394.4705742446153,-478.19658376976355,533.3513043591088,-214.38559876757202,26.794774072671416,-1055.7566706427212,694.754782679144,-412.7926083142335,-8.930286897585116,-113.27524326211544,9.444038728323457,486.813776184134,-235.02901008007967,-211.09085393571203,156.40611442228732,-439.04662140487204
UK28A,184.00541015295724,62.00868860733521,424.5102794799609,458.27565500577157,2464.328818348125,-1494.1861737911165,1419.8762792556079,-1270.9427546633628,-628.0370891968349,-445.7346403376474,-361.2893498249924,474.84564684138314,-154.4844881917094,15.542860482090326,-773.0226976501178,507.91936284935525,-370.9686773941317,195.5325737165863,-103.98015907394995,60.32085612997467,442.8136456743142,-182.3244986905671,-260.00293909247006,121.88299171708677,-470.30030305242695
UK29A,170.77687743114896,59.37206775018695,425.53712080617044,439.5251276426471,2433.4456500054152,-1502.3297655823658,1409.0496587912749,-1278.3741515052752,-604.1346688455101,-458.51618414226317,-339.5243790125106,455.26429317044887,-184.40109974857106,-3.250568251573355,-728.150205502071,406.6341707064477,-411.00765261156585,97.820484153306,-116.74696929123256,93.91261396671979,447.6742743352659,-185.09557765836408,-205.56489147955585,-10.204407939095473,-566.1959446174515
UK30A,210.16300904867276,59.808787358037534,463.73349438711534,581.6642336455981,2801.08145588326,-1854.3388051676968,1580.5559292069204,-1470.7525294352488,-588.8377600616694,-567.3822635782863,-189.2709606462564,296.9207522307716,-65.2226147029656,6.172220088606285,-233.99087493067893,110.29287262033861,-549.363536552929,465.04787857838255,-112.22656794181523,186.25909868276443,445.17540107991096,-132.6741401583599,-404.4689903965391,21.909094543555693,-783.9120760527062
UK31A,166.95149725594246,67.02269979722786,447.91833787694424,426.65990749772897,2505.9715387933315,-1685.3059072875621,1486.4931181410427,-1358.9903149643067,-614.9312975976387,-562.5967986052655,-291.57012674640964,446.56779741885913,-302.8406804253454,-56.043704374692474,-680.611496387179,238.44183494917834,-420.4639568461404,-276.7916328465031,-193.6509532084648,270.1942730001256,494.1519911580116,-149.29577367522432,-154.28058967941752,-242.1618782178383,-985.7441096948066
